Dataset,number_of_shapelets,r,subset_ratio
Adiac,10,4,0.2
ArrowHead,5,4,0.2
Beef,2,4,0.2
BeetleFly,0.5,4,0.2
BirdChicken,1,4,0.2
Car,1,4,0.2
CBF,10,4,0.2
ChlorineConcentration,10,4,0.2
CinCECGtorso,2,4,0.2
Coffee,0.2,4,0.2
Computers,0.2,4,0.2
CricketX,10,4,0.2
CricketY,10,4,0.2
CricketZ,2,4,0.2
DiatomSizeReduction,10,4,0.2
DistalPhalanxOutlineCorrect,2,4,0.2
DistalPhalanxOutlineAgeGroup,2,4,0.2
DistalPhalanxTW,1,4,0.2
Earthquakes,0.05,4,0.2
ECG200,1,4,0.2
ECG5000,5,4,0.2
ECGFiveDays,0.2,4,0.2
ElectricDevices,5,4,0.2
FaceAll,5,4,0.2
FaceFour,0.5,4,0.2
FacesUCR,5,4,0.2
FiftyWords,10,4,0.2
Fish,0.1,4,0.2
FordA,5,4,0.2
FordB,5,4,0.2
GunPoint,5,4,0.2
Ham,0.1,4,0.2
HandOutlines,0.05,4,0.2
Haptics,0.05,4,0.2
Herring,0.2,4,0.2
InlineSkate,0.5,4,0.2
InsectWingbeatSound,5,4,0.2
ItalyPowerDemand,5,4,0.2
LargeKitchenAppliances,10,4,0.2
Lightning2,10,4,0.2
Lightning7,2,4,0.2
Mallat,0.5,4,0.2
Meat,0.2,4,0.2
MedicalImages,10,4,0.2
MiddlePhalanxOutlineCorrect,10,4,0.2
MiddlePhalanxOutlineAgeGroup,0.1,4,0.2
MiddlePhalanxTW,0.5,4,0.2
MoteStrain,1,4,0.2
NonInvasiveFatalECGThorax1,0.05,4,0.2
NonInvasiveFatalECGThorax2,0.05,4,0.2
OliveOil,2,4,0.2
OSULeaf,10,4,0.2
PhalangesOutlinesCorrect,5,4,0.2
Phoneme,5,4,0.2
Plane,0.05,4,0.2
ProximalPhalanxOutlineCorrect,0.5,4,0.2
ProximalPhalanxOutlineAgeGroup,5,4,0.2
ProximalPhalanxTW,2,4,0.2
RefrigerationDevices,5,4,0.2
ScreenType,1,4,0.2
ShapeletSim,0.05,4,0.2
ShapesAll,5,4,0.2
SmallKitchenAppliances,1,4,0.2
SonyAIBORobotSurface1,5,4,0.2
SonyAIBORobotSurface2,1,4,0.2
StarlightCurves,1,4,0.2
Strawberry,10,4,0.2
SwedishLeaf,5,4,0.2
Symbols,5,4,0.2
SyntheticControl,2,4,0.2
ToeSegmentation1,1,4,0.2
ToeSegmentation2,5,4,0.2
Trace,0.2,4,0.2
TwoLeadECG,5,4,0.2
TwoPatterns,5,4,0.2
UWaveGestureLibraryX,10,4,0.2
UWaveGestureLibraryY,5,4,0.2
UWaveGestureLibraryZ,5,4,0.2
UWaveGestureLibraryAll,2,4,0.2
Wafer,5,4,0.2
Wine,5,4,0.2
WordSynonyms,10,4,0.2
Worms,5,4,0.2
WormsTwoClass,5,4,0.2
Yoga,5,4,0.2
ACSF1,0.2,4,0.2
BME,0.05,4,0.2
Chinatown,0.5,4,0.2
Crop,10,4,0.2
EOGHorizontalSignal,0.05,4,0.2
EOGVerticalSignal,10,4,0.2
EthanolLevel,0.5,4,0.2
FreezerRegularTrain,0.05,4,0.2
FreezerSmallTrain,10,4,0.2
GunPointAgeSpan,10,4,0.2
GunPointMaleVersusFemale,1,4,0.2
GunPointOldVersusYoung,5,4,0.2
HouseTwenty,5,4,0.2
InsectEPGRegularTrain,0.05,4,0.2
InsectEPGSmallTrain,0.05,4,0.2
MixedShapesRegularTrain,0.5,4,0.2
MixedShapesSmallTrain,0.5,4,0.2
PigAirwayPressure,10,4,0.2
PigArtPressure,10,4,0.2
PigCVP,10,4,0.2
PowerCons,0.2,4,0.2
Rock,0.5,4,0.2
SemgHandGenderCh2,5,4,0.2
SemgHandMovementCh2,0.5,4,0.2
SemgHandSubjectCh2,0.5,4,0.2
SmoothSubspace,1,4,0.2
UMD,2,4,0.2
